Emergency Shelter Expansion,Housing,18500,9,120,Yes
Mobile Food Pantry,Food Security,7200,8,200,Yes
Youth Mentorship Program,Education,5000,7,60,Yes
Job Skills Training,Employment,11000,8,85,Yes
Mental Health Outreach,Health,9500,9,75,Yes
Community Garden Project,Food Security,3100,5,40,Yes
Senior Transportation Service,Accessibility,6400,6,55,Yes
Domestic Violence Safe House,Safety,14000,10,30,Yes
After-School Tutoring,Education,4300,6,90,Yes
Addiction Recovery Support,Health,8800,8,50,Yes
Legal Aid Clinic,Advocacy,12500,7,65,No
Infant Nutrition Program,Health,5600,9,110,Yes
Homeless Outreach Team,Housing,10200,9,95,Yes
Digital Literacy Classes,Education,2900,5,45,Yes
Rental Assistance Fund,Housing,16000,8,70,Yes
